delta,N,majorant
0.25,477.41110182979804,8.70138818615803
0.25,491.1259841299368,8.664059663819238
0.25,505.2348622877043,8.626824720304644
0.25,519.7490548643843,8.589683893397819
0.25,534.680205576533,8.552637708634899
0.25,550.0402926369098,8.515686679450658
0.25,565.8416383637606,8.478831307323073
0.25,582.0969190661428,8.44207208191654
0.25,598.8191752132395,8.405409481223579
0.25,616.0218218958129,8.368843971705173
0.25,633.7186595881843,8.332376008429703
0.25,651.92388521939,8.296006035210485
0.25,670.6521035623741,8.259734484741946
0.25,689.9183389503772,8.223561778734425
0.25,709.7380473298967,8.187488328047635
0.25,730.1271286599125,8.15151453282279
0.25,751.1019396673007,8.115640782613395
0.25,772.6793069686918,8.079867456514746
0.25,794.8765405692761,8.044194923292105
0.25,817.7114477494113,8.008623541507601
0.25,841.2023473501446,7.973153659645857
0.25,865.3680844691385,7.937785616238338
0.25,890.2280455787619,7.902519739986462
0.25,915.8021740784968,7.867356349883463
0.25,942.110986294129,7.832295755335012
0.25,969.1755879365477,7.79733825627865
0.25,997.0176910333811,7.762484143301968
0.25,1025.6596313470227,7.727733697759643
0.25,1055.1243862930517,7.693087191889234
0.25,1085.4355933733896,7.658544888925846
0.25,1116.6175691390163,7.624107043215614
0.25,1148.6953286974197,7.589773900328028
0.25,1181.694605780468,7.5555456971671235
0.25,1215.6418733887647,7.521422662081539
0.25,1250.564365029086,7.487405014973446
0.25,1286.4900965619004,7.453492967406381
0.25,1323.447888676527,7.419686722711957
0.25,1361.4673900119558,7.385986476095502
0.25,1400.5791009418535,7.3523924147406055
0.25,1440.8143980428845,7.318904717912598
0.25,1482.2055592659183,7.285523557060979
0.25,1524.7857898303753,7.252249095920769
0.25,1568.5892488624258,7.21908149061285
0.25,1613.651076798471,7.186020889743249
0.25,1660.0074235758302,7.153067434501421
0.25,1707.695477633309,7.120221258757496
0.25,1756.7534957448565,7.087482489158552
0.25,1807.2208337102995,7.054851245223863
0.25,1859.1379779277204,7.022327639439185
0.25,1912.5465778728635,6.989911777350054
0.25,1967.4894795115688,6.957603757654129
0.25,2024.0107596720843,6.92540367229256
0.25,2082.1557614048143,6.893311606540426
0.25,2141.971130357846,6.861327639096222
0.25,2203.504852197493,6.829451842170419
0.25,2266.8062911038037,6.797684281573106
0.25,2331.926229371991,6.766025016800694
0.25,2398.9169081514833,6.7344741011217675
0.25,2467.8320693553405,6.703031581661968
0.25,2538.7269987735986,6.671697499488058
0.25,2611.658570425191,6.640471889691056
0.25,2686.6852921839572,6.609354781468522
0.25,2763.867352715417,6.578346198205978
0.25,2843.2666697618884,6.547446157557475
0.25,2924.9469398147494,6.516654671525291
